"1. ต้องเป็นทายาทของผู้ประกอบอาชีพเป็น เกษตรกร ชาวประมง เจ้าของกิจการตามที่คณะ/สาขาวิชา กำหนด โดยมีเอกสารรับรองจากทางราชการ (ทายาท หมายถึง บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย หรือผู้สืบเชื้อสายโดยสายเลือด)
2. เป็นนักเรียนระดับชั้นมัธยมศึกษาตอนปลายหรือเทียบเท่า
2.1 กรณีเป็นผู้กำลังศึกษาอยู่ในระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 5 ภาคการศึกษา (ม.4 - ม.6 เทอมต้น) 
2.2 กรณีเป็นผู้สำเร็จการศึกษาระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 6 ภาคการศึกษา (ม.4 - ม.6) 
3. มีผลคะแนนสอบ O-NET วิชาภาษาอังกฤษ ไม่ต่ำกว่า 16 คะแนน และคะแนนทดสอบวิชาอื่นของ สทศ. ตามที่คณะ/สาขาวิชา กำหนด",,,,,,,,,,,,,,,,,,,,,,,,
"* อาชีพของบิดาหรือมารดา
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (คะแนนเต็ม 300 คะแนน)
** GAT
** PAT1
** PAT2
** PAT3
** PAT4
** PAT5
** PAT6
** PAT7
* วิชาสามัญ 9 วิชา (คะแนนเต็ม 100 คะแนน)
** 09
** 19
** 29
** 39
** 49
** 59
** 69
* O-NET
** วิชา 03
* แผนการเรียน
* GPAX
* คะแนนขั้นต่ำ/เงื่อนไขเพิ่มเติม",,,,,,,,,,,,,,,,,,,,,,,,
1,เกษตร,คหกรรมศาสตร์,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
2,เกษตร,เคมีการเกษตร,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
3,เกษตร,วิทยาศาสตร์เกษตร,7,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
4,เกษตร,เกษตรเขตร้อน,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
5,เกษตร,อาหารและโภชนาการ,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
6,เกษตร,การจัดการศัตรูพืชและสัตว์,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
7,เกษตร,สัตวศาสตร์อุตสาหกรรม,3,,เกษตรกรหรือชาวประมง,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
