"1. เป็นนักเรียนระดับชั้นมัธยมศึกษาตอนปลายปีที่ 6 ของโรงเรียนสาธิตแห่งมหาวิทยาลัย 
เกษตรศาสตร์ ศูนย์วิจัยและพัฒนาการศึกษา วิทยาเขตบางเขน วิทยาเขตกำแพงแสน และโครงการการศึกษาพหุภาษา จังหวัดชลบุรี
2. มีคุณสมบัติอื่น ๆ ตามประกาศ",,,,,,,,,,,,
"* รายละเอียดการรับ/เกณฑ์การคัดเลือก
** GAT/PAT (80%)
*** GAT
*** PAT1
*** PAT3
** O-NET (03)
*** (คะแนน)
** เงื่อนไขเฉพาะสาขาวิชา
** GPA (20%)
*** กิจกรรม
*** วิชาการ
** แผนการเรียน",,,,,,,,,,,,
1,เกษตร,คหกรรมศาสตร์,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
2,เกษตร,เคมีการเกษตร,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
3,เกษตร,วิทยาศาสตร์เกษตร,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
4,เกษตร,เกษตรเขตร้อน,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
5,เกษตร,อาหารและโภชนาการ,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
6,เกษตร,การจัดการศัตรูพืชและสัตว์,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
7,เกษตร,สัตวศาสตร์อุตสาหกรรม,5,คณะเกษตรรับรวม 5 คน,80,-,-,16,"PAT1, PAT2 ไม่ต่ำกว่าค่าเฉลี่ย",2.00,2.75,วิทย์-คณิต
8,ประมง,ประมง,5,,80,-,-,16,,2.00,2.75,วิทย์-คณิต
9,วนศาสตร์,วนศาสตร์,2,,80,-,-,16,,2.50,2.75,วิทย์-คณิต
10,วนศาสตร์,เทคโนโลยีผลิตภัณฑ์ไม้และกระดาษ,1,,80,-,-,16,,2.50,2.75,วิทย์-คณิต
11,วิทยาศาสตร์,คณิตศาสตร์,2,,80,-,-,16,"GAT≥180, PAT1≥40, PAT2≥80",2.00,2.75,วิทย์-คณิต
12,วิทยาศาสตร์,เคมี,2,,80,-,-,30,คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 2.50,2.50,2.75,วิทย์-คณิต
13,วิทยาศาสตร์,ชีววิทยา,1,,80,-,-,16,,2.00,2.75,วิทย์-คณิต
14,วิทยาศาสตร์,ฟิสิกส์,10,,80,-,-,16,,2.00,2.75,วิทย์-คณิต
