"1. ต้องมีความสามารถพิเศษโดดเด่นเฉพาะทาง ตามที่คณะ/สาขาวิขา กำหนด โดยมีการรับรองผลงานจากหน่วยงานที่เกี่ยวข้องซึ่งเป็นที่ยอมรับ
2. เป็นนักเรียนระดับชั้นมัธยมศึกษาตอนปลายหือเทียบเท่า
2.1 กรณีเป็นผู้กำลังศึกษาอยู่ในระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 5 ภาคการศึกษา (ม.4 - ม.6 เทอมต้น) 
2.2 กรณีเป็นผู้สำเร็จการศึกษาระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 6 ภาคการศึกษา (ม.4 - ม.6) 
3. มีผลคะแนนสอบ O-NET วิชาภาษาอังกฤษ ไม่ต่ำกว่า 16 คะแนน และคะแนนทดสอบวิชาอื่นของ สทศ. ตามที่คณะ/สาขาวิชา กำหนด",,,,,,,,,,,,,,,,,,,,,,
"* ความสามารถพิเศษของผู้สมัคร
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (คะแนนเต็ม 300 คะแนน)
** GAT
** PAT1
** PAT2
** PAT3
** PAT5
** PAT7
* วิชาสามัญ 9 วิชา (คะแนนเต็ม 100 คะแนน)
** 09
** 19
** 29
** 39
** 49
** 59
** 69
* O-NET (03)
* แผนการเรียน
* GPAX
* คะแนนขั้นต่ำ/เงื่อนไขเพิ่มเติม",,,,,,,,,,,,,,,,,,,,,,
1,วิทยาศาสตร์,คณิตศาสตร์,10,,ผ่านการอบรมค่าย สอวน. วิชาคณิตศาสตร์ ค่าย 1 ไม่เกิน 3 ปี,≥180,≥40,≥80,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.25,-
2,วิทยาศาสตร์,เคมี,4,,ผ่านการอบรมค่าย สอวน. วิชาเคมี ค่าย 1 ,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.00,"คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 3.00
วิชาคณิตศาสตร์ และภาษาอังกฤษ วิชาละไม่ต่ำกว่า 2.50"
3,วิทยาศาสตร์,เคมีอุตสาหกรรม,2,,ผ่านการอบรมค่าย สอวน. วิชาเคมี ค่าย 1 ,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
4,วิทยาศาสตร์,เคมีบูรณาการ (นานาชาติ),5,,ผ่านการอบรมค่าย สอวน. วิชาเคมี ค่าย 1 ,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
5,วิทยาศาสตร์,จุลชีววิทยา,5,,ได้รับรางวัลจากโครงงานวิทยาศาสตร์/การนำเสนอ,,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.00,-
6,วิทยาศาสตร์,ชีวเคมี,1,,ได้รับรางวัลจากโครงงานวิทยาศาสตร์,-,/,/,-,-,-,/,/,/,/,/,≥25,≥25,16,วิทย์-คณิต,3.25,-
7,วิทยาศาสตร์,พันธุศาสตร์,5,,ได้รับรางวัลประกวดหรือแข่งขันทางวิทยาศาสตร์ระดับชาติหรือนานาชาติ,/,≥40,≥80,-,-,-,-,-,-,-,-,-,-,25,วิทย์-คณิต,3.00,-
